measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2015,6.676504899,7.087210495,6.286661712
1,Deaths,102,United States of America,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2015,5.846088026,6.236270968,5.469836584
1,Deaths,102,United States of America,1,Male,22,All ages,1008,Eye cancer,1,Number,2015,220.6102814,232.3853604,204.3928139
1,Deaths,102,United States of America,2,Female,22,All ages,1008,Eye cancer,1,Number,2015,193.3188491,208.8766701,170.9370412
1,Deaths,102,United States of America,1,Male,12,35-39 years,417,Liver cancer,1,Number,2015,70.38594563,72.87180264,67.66485918
1,Deaths,102,United States of America,2,Female,12,35-39 years,417,Liver cancer,1,Number,2015,39.61748342,40.95021753,38.34857658
1,Deaths,102,United States of America,1,Male,13,40-44 years,417,Liver cancer,1,Number,2015,129.3561169,134.4588197,125.0080153
1,Deaths,102,United States of America,2,Female,13,40-44 years,417,Liver cancer,1,Number,2015,74.73757185,77.26979292,72.3740316
1,Deaths,102,United States of America,1,Male,14,45-49 years,417,Liver cancer,1,Number,2015,326.0358281,337.3463623,313.8691629
1,Deaths,102,United States of America,2,Female,14,45-49 years,417,Liver cancer,1,Number,2015,143.7325668,148.0204627,139.5410531
1,Deaths,102,United States of America,1,Male,22,All ages,417,Liver cancer,1,Number,2015,13243.77363,13607.68427,12575.27062
1,Deaths,102,United States of America,2,Female,22,All ages,417,Liver cancer,1,Number,2015,6722.909652,7093.083098,6006.044436
1,Deaths,102,United States of America,1,Male,12,35-39 years,429,Breast cancer,1,Number,2015,4.256639032,4.408071773,4.122079258
1,Deaths,102,United States of America,2,Female,12,35-39 years,429,Breast cancer,1,Number,2015,757.623314,788.095424,731.6966834
1,Deaths,102,United States of America,1,Male,13,40-44 years,429,Breast cancer,1,Number,2015,6.877281171,7.161639831,6.559453114
1,Deaths,102,United States of America,2,Female,13,40-44 years,429,Breast cancer,1,Number,2015,1364.967621,1418.444197,1315.291945
1,Deaths,102,United States of America,1,Male,14,45-49 years,429,Breast cancer,1,Number,2015,17.80452889,18.60830573,17.00457863
1,Deaths,102,United States of America,2,Female,14,45-49 years,429,Breast cancer,1,Number,2015,2248.919364,2343.896327,2160.068586
1,Deaths,102,United States of America,1,Male,22,All ages,429,Breast cancer,1,Number,2015,558.048842,580.6323806,524.6498826
1,Deaths,102,United States of America,2,Female,22,All ages,429,Breast cancer,1,Number,2015,49963.19389,52649.3327,45408.06038
1,Deaths,102,United States of America,1,Male,12,35-39 years,477,Brain and central nervous system cancer,1,Number,2015,255.6620454,264.1799501,247.7424866
1,Deaths,102,United States of America,2,Female,12,35-39 years,477,Brain and central nervous system cancer,1,Number,2015,168.537468,173.430701,163.3493254
